review_id,product_id,user_id,rating,review_text,review_date
R001,P005,U004,1,Review 1 text about product P005,2024-10-14
R002,P004,U002,5,Review 2 text about product P004,2024-08-17
R003,P001,U005,5,Review 3 text about product P001,2024-10-04
R004,P004,U001,4,Review 4 text about product P004,2024-09-13
R005,P005,U003,5,Review 5 text about product P005,2025-01-03
R006,P002,U004,4,Review 6 text about product P002,2024-03-21
R007,P005,U003,3,Review 7 text about product P005,2025-02-27
R008,P005,U003,1,Review 8 text about product P005,2024-09-06
R009,P001,U005,5,Review 9 text about product P001,2024-04-21
R010,P002,U004,2,Review 10 text about product P002,2024-11-30
R011,P001,U004,1,Review 11 text about product P001,2024-11-03
R012,P001,U001,2,Review 12 text about product P001,2024-05-12
R013,P005,U001,4,Review 13 text about product P005,2024-05-30
R014,P001,U004,3,Review 14 text about product P001,2024-10-11
R015,P004,U005,5,Review 15 text about product P004,2024-02-29
R016,P005,U003,4,Review 16 text about product P005,2024-06-08
R017,P004,U003,4,Review 17 text about product P004,2024-05-02
R018,P003,U001,5,Review 18 text about product P003,2024-03-13
R019,P005,U002,3,Review 19 text about product P005,2024-11-03
R020,P001,U001,5,Review 20 text about product P001,2024-06-21
R021,P005,U004,5,Review 21 text about product P005,2024-05-25
R022,P002,U001,4,Review 22 text about product P002,2024-09-25
R023,P005,U001,5,Review 23 text about product P005,2024-10-22
R024,P001,U004,5,Review 24 text about product P001,2024-12-26
R025,P004,U005,3,Review 25 text about product P004,2024-04-06
R026,P004,U005,5,Review 26 text about product P004,2024-07-03
R027,P002,U005,1,Review 27 text about product P002,2024-12-26
R028,P001,U003,4,Review 28 text about product P001,2024-08-07
R029,P002,U001,1,Review 29 text about product P002,2024-03-02
R030,P003,U005,5,Review 30 text about product P003,2024-03-19
R031,P002,U005,4,Review 31 text about product P002,2024-07-17
R032,P002,U004,2,Review 32 text about product P002,2024-10-15
R033,P002,U005,5,Review 33 text about product P002,2024-07-02
R034,P005,U003,4,Review 34 text about product P005,2024-03-05
R035,P005,U003,1,Review 35 text about product P005,2024-04-07
R036,P001,U002,4,Review 36 text about product P001,2024-12-28
R037,P003,U002,1,Review 37 text about product P003,2024-12-27
R038,P003,U004,4,Review 38 text about product P003,2024-11-16
R039,P005,U001,5,Review 39 text about product P005,2024-06-17
R040,P003,U001,4,Review 40 text about product P003,2025-02-06
R041,P001,U002,4,Review 41 text about product P001,2024-09-16
R042,P001,U001,3,Review 42 text about product P001,2024-04-11
R043,P003,U002,2,Review 43 text about product P003,2024-10-12
R044,P004,U005,1,Review 44 text about product P004,2025-01-29
R045,P002,U003,5,Review 45 text about product P002,2024-06-28
R046,P002,U004,4,Review 46 text about product P002,2024-08-07
R047,P004,U005,5,Review 47 text about product P004,2024-10-12
